hypothesis,stage,prospective_contract,evidence_role,fresh_or_consumed,result,terminal_status,claim_allowed,claim_prohibited,artifact_sources
"H-MSO-01 prospective project proposition","MSO-00","00_project_contract/mso_project_charter.md;00_project_contract/mso_scope_and_claim_boundary.md","Prospective contract and claim boundary","NO_SCIENTIFIC_EVIDENCE__CONTRACT_ONLY","FROZEN_FOR_FUTURE_TEST","MSO_PROJECT_AND_PRELEARNING_MULTISCALE_IDENTIFIABILITY_CONTRACT_FROZEN","The paired SS/MS question and all absolute/relative gates were prospectively frozen.","No outcome; no claim that multiscale responses improve identifiability.","07_reports/mso00_final_report.md;08_manifests/mso00_manifest.json"
"Target-blind support-scale numerical admissibility","MSO-01","00_project_contract/mso01_target_blind_numerical_qualification_contract.md","Target-blind numerical qualification","FRESH_TARGET_BLIND_NUMERICAL_EVIDENCE","SUPPORT_SCALE_LADDER_0.75_1.00_1.25_1.50_QUALIFIED","MSO01_TARGET_BLIND_MULTISCALE_NUMERICAL_LADDER_QUALIFIED","The frozen scale ladder is numerically admissible and its responses are resolvable under the registered tests.","No target identifiability or H3 claim; numerical resolvability is not defect identifiability.","07_reports/mso01_numerical_qualification_report.md;08_manifests/mso01_status_ledger.json"
"H-MSO-01 atlas and paired representation eligibility","MSO-02A","00_project_contract/mso02a_fresh_atlas_and_representation_freeze_contract.md","Target-blind fresh-atlas and representation freeze","FRESH_TARGET_BLIND_ATLAS_EVIDENCE","384_CASE_PAIRED_SS39_MS110_ATLAS_FROZEN__NO_HYPOTHESIS_VERDICT","MSO02A_FRESH_PAIRED_IDENTIFIABILITY_ATLAS_AND_REPRESENTATION_FROZEN","A fresh paired atlas, identical SS/MS rows, folds, normalization and bootstrap identities were frozen before target access.","No H-MSO-01 outcome and no target-derived representation claim.","07_reports/mso02a_fresh_atlas_report.md;08_manifests/mso02a_status_ledger.json"
"H-MSO-01 original paired prelearning identifiability rescue","MSO-02B","00_project_contract/mso02b_paired_prelearning_identifiability_execution_contract.md","Fresh confirmatory execution under the original DNN statistic","FRESH_CONFIRMATORY_EVIDENCE__FORMAL_VERDICT_NOT_EVALUABLE","H_MSO01_MULTISCALE_IDENTIFIABILITY_RESCUE_NOT_EVALUABLE","MSO02B_PAIRED_PRELEARNING_IDENTIFIABILITY_REQUALIFICATION_NOT_EVALUABLE","The original registered statistic encountered a structural zero-denominator evaluability failure; H-MSO-01 is permanently NOT_EVALUABLE.","Do not relabel NOT_EVALUABLE as FAIL or use non-DNN improvements to substitute for the missing mandatory gate.","07_reports/mso02b_identifiability_requalification_report.md;08_manifests/mso02b_status_ledger.json"
"Descriptor-neighbour zero-denominator A/B attribution","MSO-02C G1","00_project_contract/mso02c_g1_descriptor_neighbour_reconstruction_authorization.md","Consumed-evidence diagnostic attribution","CONSUMED_DIAGNOSTIC_EVIDENCE","ZERO_DENOMINATOR_ATTRIBUTION_COMPLETE__OLD_VERDICT_UNCHANGED","MSO02C_G1_ZERO_DENOMINATOR_AB_ATTRIBUTION_COMPLETE","The old DNN singularity was diagnostically localized without changing MSO-02B or H-MSO-01.","No new confirmatory verdict; no candidate selection; no use of the old 65/54 subset as full-population Route-B support.","07_reports/mso02c_g1_ab_attribution_report.md;08_manifests/mso02c_g1_ab_attribution_status_ledger.json"
"CA-MSO-01 zero-safe metric amendment","MSO-02C G2","00_project_contract/mso02c_g2_zero_safe_metric_selection_contract.md;00_project_contract/mso02c_g2_zero_safe_metric_selection_protocol_erratum.md","Prospective zero-safe metric selection using synthetic fixtures","TARGET_BLIND_SYNTHETIC_PROTOCOL_EVIDENCE","CANDIDATE_C_SELECTED_AND_FROZEN__OLD_H_MSO01_UNCHANGED","MSO02C_DNN_DEGENERACY_ATTRIBUTED_AND_ZERO_SAFE_REQUALIFICATION_CONTRACT_FROZEN","Candidate C, D=W(N)/W(B) after registered aggregation, was selected prospectively for a new fresh H-MSO-01R test.","No consumed replay; no retroactive repair or re-verdict of H-MSO-01.","07_reports/mso02c_g2_zero_safe_metric_selection_report.md;08_manifests/mso02c_g2_status_ledger.json"
"H-MSO-01R fresh requalification eligibility","H-MSO-01R-A","00_project_contract/hmso01r_a_fresh_requalification_atlas_freeze_contract.md","Fresh target-blind confirmatory-atlas and zero-safe analysis freeze","FRESH_TARGET_BLIND_ATLAS_EVIDENCE","FRESH_384_CASE_ATLAS_AND_CANDIDATE_C_ANALYSIS_FROZEN__NO_VERDICT","HMSO01R_A_FRESH_CONFIRMATORY_ATLAS_AND_ZERO_SAFE_ANALYSIS_FROZEN","A historically nonoverlapping fresh atlas and the Candidate C/CVAR/oracle analysis were frozen before target access.","No H-MSO-01R scientific outcome; no target/reference or formal H3 evaluation occurred in R-A.","07_reports/hmso01r_a_fresh_requalification_atlas_report.md;08_manifests/hmso01r_a_status_ledger.json"
"H-MSO-01R fresh multiscale operational-identifiability rescue","H-MSO-01R-B","00_project_contract/hmso01r_b_fresh_confirmatory_execution_contract.md","Fresh prospective confirmatory test","FRESH_CONFIRMATORY_SCIENTIFIC_EVIDENCE","GLOBAL_NOT_QUALIFIED__DENSITY_QUALIFIED__PRESSURE_AND_VISCOSITY_NOT_QUALIFIED","HMSO01R_B_FRESH_CONFIRMATORY_MULTISCALE_IDENTIFIABILITY_RESCUE_NOT_QUALIFIED","Within the tested scope, density-rate operational identifiability was qualified; pressure/viscosity oracle prediction improved but their local operational-identifiability rescue did not qualify.","No intrinsic mathematical non-identifiability; no proof that all information is present; no temporal/directional necessity; no global pass.","07_reports/hmso01r_b_fresh_confirmatory_identifiability_report.md;08_manifests/hmso01r_b_status_ledger.json"
"Componentwise failure attribution and route adjudication","MSO-02D","00_project_contract/mso02d_componentwise_failure_attribution_contract.md","Consumed-evidence diagnostic attribution and route adjudication","CONSUMED_DIAGNOSTIC_EVIDENCE","ROUTE_A_NOT_SUPPORTED__ROUTE_B_NOT_SUPPORTED__ROUTE_C_CLOSURE_RECOMMENDED__F_MS6_SUPPORTED_DOMINANT","MSO02D_COMPONENTWISE_FAILURE_ATTRIBUTION_COMPLETE_NO_ACTIONABLE_TARGET_BLIND_ROUTE","Global predictive performance and local operational identifiability are empirically separable under the frozen representation; evaluated target-blind geometry/proxy routes were not actionable.","No H-MSO-01R re-verdict; no claim that all Euclidean metrics fail; no claim that P5 would solve; no new confirmatory hypothesis.","07_reports/mso02d_componentwise_failure_attribution_report.md;08_manifests/mso02d_status_ledger.json"
"Support-scale project closure and publication evidence freeze","MSO-02Z","USER_AUTHORIZATION_2026-08-13","Publication claim freeze and evidence packaging","FROZEN_ARTIFACT_DERIVATION_ONLY","SUPPORT_SCALE_MULTISCALE_ROUTE_CLOSED__PAPER_ROUTE_AUTHORIZED","PROJECT_SUPPORT_SCALE_MULTISCALE_ROUTE_CLOSED_PUBLICATION_EVIDENCE_FROZEN","The frozen evidence chain may be organized for publication under the final claim boundary.","No fresh compute, new H-MSO-02, MSO-03, neural/attention/Transformer training or new scientific verdict.","07_reports/mso02z_project_closure_report.md;08_manifests/mso02z_status_ledger.json;08_manifests/mso02z_manifest.json"
