id,direction,exact_citation,doi_arxiv_venue,learning_object,input_representation,scale_treatment,physical_hard_constraints,kernel_or_operator_learned,identifiability_before_learning,fresh_prospective_qualification,direct_overlap_with_mso,novelty_threat,claims_mso_must_not_make,primary_source
L01,A-I,"Woodward, M.; Tian, Y.; Hyett, C.; Fryer, C.; Livescu, D.; Stepanov, M.; Chertkov, M. Physics-informed machine learning with smoothed particle hydrodynamics: Hierarchy of reduced Lagrangian models of turbulence. Physical Review Fluids 8, 054602 (2023).",DOI:10.1103/PhysRevFluids.8.054602; arXiv:2110.13311,"reduced Lagrangian turbulence dynamics","particle states in parameterized weakly compressible SPH/NN hierarchy","resolved-scale turbulence and two parameterized smoothing-kernel families","Galilean/rotation/translation symmetries encoded progressively","YES: parameterized SPH kernels and acceleration forms","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","learned/parameterized SPH kernels plus Lagrangian scale modeling; closest kernel-side overlap",HIGH,"first learned SPH kernel; first multiscale Lagrangian SPH/ML model",https://doi.org/10.1103/PhysRevFluids.8.054602
L02,B,"Toshev, A. P.; Erbesdobler, J. A.; Adams, N. A.; Brandstetter, J. Neural SPH: Improved Neural Modeling of Lagrangian Fluid Dynamics. Proceedings of the 41st International Conference on Machine Learning (ICML 2024); arXiv:2402.06275.",arXiv:2402.06275; ICML 2024,"trajectory acceleration/state evolution and stable rollout","particle graph features plus SPH pressure/viscous/external-force modules","single solver support; temporal rollout refinement rather than support-scale response","SPH modules impose selected physical structure; not the MSO antisymmetric correction claim","GNN dynamics learned; SPH kernel itself not the principal learned object","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","hybrid neural/SPH stabilization and rollout; different target and evidence order",MEDIUM,"first Neural SPH; first SPH-enhanced particle rollout; rollout stability from MSO",https://arxiv.org/abs/2402.06275
L03,C,"Winchenbach, R.; Thuerey, N. Symmetric Basis Convolutions for Learning Lagrangian Fluid Mechanics. International Conference on Learning Representations (ICLR 2024); arXiv:2403.16680.",arXiv:2403.16680; ICLR 2024,"particle-fluid dynamics/rollout through continuous convolution","relative particle coordinates and features in separable symmetric bases","basis/frequency structure and repeated message passing; not frozen SPH support-response evaluation","even/odd basis symmetries as inductive bias","YES: continuous-convolution kernels/bases","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","particle representation and symmetry overlap; MSO cannot claim basis/attention novelty",HIGH,"first symmetric particle convolution; first Fourier particle-fluid representation",https://proceedings.iclr.cc/paper_files/paper/2024/hash/1386faadf55462905db1548cff151a78-Abstract-Conference.html
L04,D,"Prantl, L.; Ummenhofer, B.; Koltun, V.; Thuerey, N. Guaranteed Conservation of Momentum for Learning Particle-based Fluid Dynamics. Advances in Neural Information Processing Systems 35 (NeurIPS 2022); arXiv:2210.06036.",arXiv:2210.06036; NeurIPS 2022,"particle-fluid temporal dynamics","hierarchical continuous convolutions on particles","hierarchical/resampled receptive fields rather than same-state SPH support ladder","YES: linear momentum by antisymmetric convolution","YES: learned antisymmetric continuous-convolution kernel","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","hard momentum constraint and hierarchical particle representation overlap",HIGH,"first hard momentum-conserving particle network; antisymmetry alone guarantees all structure",https://proceedings.neurips.cc/paper_files/paper/2022/hash/2dd7f33ffbb59b4ff987be5442a13016-Abstract-Conference.html
L05,E,"Toshev, A. P.; Ramachandran, H.; Erbesdobler, J. A.; Galletti, G.; Brandstetter, J.; Adams, N. A. JAX-SPH: A Differentiable Smoothed Particle Hydrodynamics Framework. AI4DifferentialEquations in Science workshop at ICLR 2024; arXiv:2403.04750.",arXiv:2403.04750; AI4DiffEqtnsInSci@ICLR 2024,"differentiable SPH, inverse problems, solver-in-loop demonstration","JAX particle state and SPH modules","standard SPH numerical scales; differentiation through solver","inherits formula-specific SPH conservation properties","NO principal learned kernel; differentiable operators enable optimization","NOT_APPLICABLE_TO_FRAMEWORK","NO_PREREGISTERED_FRESH_PRELEARNING_IDENTIFIABILITY_QUALIFICATION","differentiable-SPH infrastructure and AD/FD qualification adjacency",MEDIUM,"first differentiable SPH; first SPH solver-in-loop ML",https://arxiv.org/abs/2403.04750
L06,E,"Winchenbach, R.; Thuerey, N. diffSPH: Differentiable Smoothed Particle Hydrodynamics for Adjoint Optimization and Machine Learning. arXiv:2507.21684 (2025); journal version in Journal of Computational Physics (2026).",arXiv:2507.21684,"adjoint optimization, inverse design, hybrid ML and differentiable rollout","PyTorch SPH particle state/modules","multiple SPH schemes/kernels but not MSO's prospective identifiability contrast","formula-specific SPH invariants and verification","NO principal learned operator; supports learned/hybrid uses","NOT_APPLICABLE_TO_FRAMEWORK","NO_PREREGISTERED_FRESH_PRELEARNING_IDENTIFIABILITY_QUALIFICATION","differentiable SPH and operator-gradient qualification adjacency",MEDIUM,"first differentiable SPH plus ML; AD qualification implies identifiability",https://arxiv.org/abs/2507.21684
L07,F,"Trask, N.; Patel, R. G.; Gross, B. J.; Atzberger, P. J. GMLS-Nets: A framework for learning from unstructured data. arXiv:1909.05371 (2019); published in CEUR Workshop Proceedings 2587 (2020).",arXiv:1909.05371,"differential operators and quantities of interest on unstructured data","local point-cloud stencils with GMLS polynomial reconstruction","local stencil/support scale through GMLS neighborhoods","polynomial reproduction/approximation structure","YES: parameterized GMLS estimator/operator","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","learned mesh-free differential operators with moment structure",HIGH,"first learned mesh-free operator; first polynomial-constrained point-cloud operator",https://arxiv.org/abs/1909.05371
L08,G,"Li, Z.; Kovachki, N.; Azizzadenesheli, K.; Liu, B.; Bhattacharya, K.; Stuart, A.; Anandkumar, A. Multipole Graph Neural Operator for Parametric Partial Differential Equations. Advances in Neural Information Processing Systems 33 (NeurIPS 2020); arXiv:2006.09535.",arXiv:2006.09535; NeurIPS 2020,"parametric PDE solution operator","graphs/point samples with multilevel inducing points","multipole-inspired multilevel long/short-range graph hierarchy","NO SPH-specific conservation guarantee","YES: neural integral/graph operator","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","multiscale neural operator on point/graph discretizations",MEDIUM,"first multiscale neural operator on point clouds; discretization invariance from MSO",https://proceedings.neurips.cc/paper/2020/hash/4b21cf96d4cf612f239a6c322b10c8fe-Abstract.html
L09,G,"Lino, M.; Cantwell, C.; Bharath, A. A.; Fotiadis, S. Simulating Continuum Mechanics with Multi-Scale Graph Neural Networks. arXiv:2106.04900 (2021); related environmental-fluid version at ICLR 2022 AI4EarthScience workshop, arXiv:2205.02637.",arXiv:2106.04900; arXiv:2205.02637,"unsteady continuum mechanics/long-term fluid state","unstructured nodes and multiple graphs at different spatial resolutions","explicit learned cross-graph multiresolution hierarchy","periodic boundary conditions can be encoded; no SPH pair-force guarantee","YES: multiscale message-passing simulator","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","direct multiscale representation threat, but changes graph resolution and learns temporal dynamics",HIGH,"first multiscale neural CFD model; first multiscale graph fluid simulator",https://arxiv.org/abs/2106.04900
L10,H,"Wang, N.; Zheng, S.; Chen, Y.; Zhao, H.; Fang, Z. FluidFormer: Transformer with continuous convolution for particle-based fluid simulation. Neural Networks 198, 108631 (2026); preliminary arXiv:2508.01537.",arXiv:2508.01537; Neural Networks 198:108631,"particle-fluid temporal simulation","continuous local convolution plus global self-attention and 3D position encoding","hierarchical local-global feature fusion; not fixed same-state SPH support response","dual-pipeline physical-bias design; no MSO-specific pair-force proof","YES: neural convolution/attention dynamics","NO_REPORTED","NO_PREREGISTERED_FRESH_PRELEARNING_QUALIFICATION_REPORTED","most direct Transformer/local-global novelty threat",HIGH,"first attention/Transformer for particle fluids; local-global particle novelty",https://www.sciencedirect.com/science/article/pii/S0893608026000936
