record_id,verification_date,topic,reference,year,learning_object,representation_or_scale,structure_or_conservation,prelearning_identifiability_qualification,overlap_with_mso,claim_threat,publication_use,url
L01,2026-08-13,learned_SPH_kernels,"Woodward et al., Physics-informed machine learning with smoothed particle hydrodynamics: Hierarchy of reduced Lagrangian models of turbulence",2023,"SPH kernel/correction","local particle neighborhoods and kernel response","physics-guided SPH constraints","NOT_REPORTED","learned SPH numerical ingredients; different from no-learning paired support-scale qualification",HIGH,"cite to prohibit broad learned-kernel novelty",https://doi.org/10.1103/PhysRevFluids.8.054602
L02,2026-08-13,Neural_SPH,"Toshev et al., Neural SPH",2024,"particle-dynamics simulator","learned Lagrangian dynamics","particle/SPH inductive biases","NOT_REPORTED","neural SPH simulation; MSO does not train a solver",HIGH,"cite to distinguish prelearning qualification from simulator performance",https://proceedings.mlr.press/v235/toshev24a.html
L03,2026-08-13,symmetric_particle_convolutions,"Winchenbach and Thuerey, Symmetric Basis Convolutions for Learning Lagrangian Fluid Mechanics",2024,"particle-fluid dynamics and rollout","relative particle coordinates with separable symmetric bases","even/odd basis symmetries as inductive bias","NOT_REPORTED","particle representation and learned continuous-convolution kernel overlap",HIGH,"cite to prohibit symmetric particle-convolution priority claims",https://proceedings.iclr.cc/paper_files/paper/2024/hash/1386faadf55462905db1548cff151a78-Abstract-Conference.html
L04,2026-08-13,momentum_conserving_particle_networks,"Prantl et al., Guaranteed Conservation of Momentum for Learning Particle-based Fluid Dynamics",2022,"particle-fluid temporal dynamics","hierarchical continuous convolutions on particles","linear momentum by antisymmetric convolution","NOT_REPORTED","hard momentum constraint and hierarchical particle representation overlap",HIGH,"cite to prohibit conservation-network priority claims",https://proceedings.neurips.cc/paper_files/paper/2022/hash/2dd7f33ffbb59b4ff987be5442a13016-Abstract-Conference.html
L05,2026-08-13,differentiable_SPH,"Toshev et al., JAX-SPH",2024,"differentiable SPH implementation","SPH states and kernels","inherits implemented SPH structure","NOT_REPORTED","differentiable particle simulation and ML tooling",MEDIUM,"cite to separate differentiability from qualification",https://arxiv.org/abs/2403.04750
L06,2026-08-13,differentiable_SPH,"Winchenbach and Thuerey, diffSPH",2025,"differentiable SPH solver for adjoint optimization and ML","multiple SPH schemes/kernels","formula-specific invariants and verification","NOT_REPORTED","differentiable SPH and optimization adjacency",HIGH,"cite to prohibit first differentiable-SPH claims",https://arxiv.org/abs/2507.21684
L07,2026-08-13,learned_mesh_free_operator,"Trask et al., GMLS-Nets",2019,"mesh-free differential operator/quantity estimator","local point-cloud stencils","GMLS polynomial reconstruction","NOT_REPORTED","learned mesh-free operators with moment structure",HIGH,"cite to prohibit broad learned mesh-free operator novelty",https://arxiv.org/abs/1909.05371
L08,2026-08-13,point_cloud_neural_operator,"Li et al., Multipole Graph Neural Operator",2020,"parametric PDE solution operator","multilevel graph/point representation","not SPH-specific","NOT_REPORTED","multiscale neural operator on irregular samples",HIGH,"cite to distinguish numerical-response qualification from operator learning",https://proceedings.neurips.cc/paper/2020/hash/4b21cf96d4cf612f239a6c322b10c8fe-Abstract.html
L09,2026-08-13,multiscale_particle_models,"Lino et al., Simulating Continuum Mechanics with Multi-Scale Graph Neural Networks",2021,"temporal continuum-mechanics simulator","multiple graph resolutions","no frozen SPH pair-force guarantee","NOT_REPORTED","direct multiscale graph-fluid overlap but different intervention and learning object",HIGH,"cite to prohibit first multiscale particle-model claims",https://arxiv.org/abs/2106.04900
L10,2026-08-13,local_global_particle_transformers,"Wang et al., FluidFormer",2026,"particle-fluid temporal simulator","continuous local convolution plus global attention","physical-bias architecture","NOT_REPORTED","local/global particle Transformer already exists",HIGH,"cite to keep attention/Transformer outside novelty narrative",https://www.sciencedirect.com/science/article/pii/S0893608026000936
L11,2026-08-13,scale_aware_Lagrangian_ML,"Tian et al., Lagrangian large eddy simulations via physics-informed machine learning",2023,"Lagrangian subgrid acceleration/closure","resolved/subgrid turbulence scales","physics-informed symmetries","NOT_REPORTED","scale-aware Lagrangian SPH/ML",HIGH,"cite to narrow scale-aware learning claims",https://doi.org/10.1073/pnas.2213638120
L12,2026-08-13,particle_to_kinetic_limits,"Deng, Hani and Ma, Long time derivation of the Boltzmann equation from hard sphere dynamics",2024,"rigorous hard-sphere-to-kinetic limit","microscopic to kinetic","theorem-level assumptions","NOT_APPLICABLE","methodological inspiration only; no direct SPH operational-identifiability result",LOW,"do not use as direct support for MSO conclusions",https://annals.math.princeton.edu/articles/22284
L13,2026-08-13,particle_to_fluid_limits,"Deng, Hani and Ma, Hilbert's sixth problem: derivation of fluid equations via Boltzmann's kinetic theory",2025,"rigorous kinetic-to-fluid limit","microscopic/kinetic/macroscopic","theorem-level assumptions","NOT_APPLICABLE","distinct mathematical object and limits",LOW,"do not use as proof of SPH identifiability or scale selection",https://arxiv.org/abs/2503.01800
L14,2026-08-13,learned_mesh_free_operator,"Starepravo et al., Learning Mesh-Free Discrete Differential Operators with Self-Supervised Graph Neural Networks",2026,"local discrete differential-operator weights","strictly local irregular particle stencils; resolution agnostic","polynomial moment constraints from Taylor expansions","NUMERICAL_ANALYSIS_DIAGNOSTICS__NO_MATCHED_PRELEARNING_DEFECT_IDENTIFIABILITY_REPORTED","very direct learned mesh-free/SPH-operator novelty threat; unlike MSO it trains operator weights",HIGH,"required citation when discussing learned mesh-free operators; no first-operator claim",https://arxiv.org/abs/2603.24641
L15,2026-08-13,point_cloud_neural_operator_and_attention,"Li et al., From Basis to Basis: Gaussian Particle Representation for Interpretable PDE Operators",2026,"Gaussian particle neural operator","learned modal basis with global cross-scale coupling","Petrov-Galerkin measurement and Gaussian attention","NOT_REPORTED","direct particle representation, cross-scale and attention novelty threat; unlike MSO it learns a solution operator",HIGH,"required citation for point-cloud/particle cross-scale attention boundary",https://arxiv.org/abs/2602.21551
L16,2026-08-13,learned_particle_boundary_correction,"Mehranfar and Shakibaeinia, Physics-Informed Machine Learning Framework for Solid Boundary Treatment in Meshfree Particle Methods",2025,"boundary correction terms","local geometry, states and kernel features","physics-informed boundary treatment; demonstrated in MPS and proposed for SPH","NOT_REPORTED","learned correction in meshfree particle methods but different boundary target",MEDIUM,"cite to narrow claims about learned particle correction",https://arxiv.org/abs/2510.17813
L17,2026-08-13,quantum_neural_SPH,"Li et al., A Novel Hierarchy of Quantum Kernel Networks on Smoothed Particle Hydrodynamics",2026,"hybrid quantum-classical particle model","unstructured Lagrangian particle topology","quantum/classical architecture rather than MSO structure-preserving qualification","NOT_REPORTED","broad neural/quantum SPH novelty threat; low overlap with the frozen MSO question",LOW,"do not invoke quantum or neural-SPH priority",https://arxiv.org/abs/2604.24159
